Climate cosine similarities between Los Angeles and 99 other cities
Long Beach, California: 0.9996917162915238
San Diego, California: 0.9994234310603202
Irvine, California: 0.9992459036661626
Oakland, California: 0.9992179030600354
Santa Ana, California: 0.9991493568560287
North Las Vegas, Nevada: 0.9991386937132553
Las Vegas, Nevada: 0.9990837447435097
Chula Vista, California: 0.999046602066247
Fremont, California: 0.9990228077499704
Henderson, Nevada: 0.9990094468453067
Anaheim, California: 0.9986813151774204
Riverside, California: 0.9984717646485938
Stockton, California: 0.9984337249493609
Tucson, Arizona: 0.998289155165112
Sacramento, California: 0.9981511424342426
Santa Clarita, California: 0.9981398021025615
San Jose, California: 0.9981121013959705
Phoenix, Arizona: 0.9980173817646096
Scottsdale, Arizona: 0.9979445589744094
Fresno, California: 0.9978511752698548
Glendale, Arizona: 0.9976944181536807
San Antonio, Texas: 0.9975592420203226
Mesa, Arizona: 0.997415438852621
Laredo, Texas: 0.9974130981588045
Austin, Texas: 0.9973504934904528
Gilbert, Arizona: 0.9973369368309003
Charlotte, North Carolina: 0.9970468442707578
Raleigh, North Carolina: 0.997042538829414
Chandler, Arizona: 0.9969782369498703
Winston-Salem, North Carolina: 0.9969367853222013
Greensboro, North Carolina: 0.996867140890869
Durham, North Carolina: 0.9968210336287071
Richmond, Virginia: 0.9966083801224164
Portland, Oregon: 0.9965510689993584
Atlanta, Georgia: 0.9964191739846937
El Paso, Texas: 0.9963098627421689
San Bernardino, California: 0.9963034509151373
Memphis, Tennessee: 0.9962266566914549
Fort Worth, Texas: 0.9961975753879136
Houston, Texas: 0.9961878885666567
Dallas, Texas: 0.9960168938336622
Bakersfield, California: 0.9959594938673574
Arlington, Texas: 0.9958939763376162
Nashville, Tennessee: 0.9958470214009832
Irving, Texas: 0.9958073844931281
Chesapeake, Virginia: 0.9957452278835625
Garland, Texas: 0.9956002477391716
Plano, Texas: 0.9953949335727678
Norfolk, Virginia: 0.9952961678822286
Reno, Nevada: 0.9952226747849124
Washington, District of Columbia: 0.9949822985139982
Louisville, Kentucky: 0.9948846564916295
Jacksonville, Florida: 0.9948545627928177
Seattle, Washington: 0.994731051159054
Lexington, Kentucky: 0.9946307024265507
Tulsa, Oklahoma: 0.9945005919282354
Tampa, Florida: 0.9943769818728594
New Orleans, Louisiana: 0.994053488882139
Corpus Christi, Texas: 0.9936982136746922
